2018-11-02 14:03:04.2226 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930064 

2018-11-02 14:03:04.2366 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930065 

2018-11-02 14:03:04.2366 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930066 

2018-11-02 14:03:04.2567 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930067 

2018-11-02 14:03:04.2567 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930068 

2018-11-02 14:03:04.2716 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930071 

2018-11-02 14:03:04.2826 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930072 

2018-11-02 14:03:04.2826 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930080 

2018-11-02 14:03:04.2986 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930081 

2018-11-02 14:03:04.2986 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930086 

2018-11-02 14:03:04.2986 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930095 

2018-11-02 14:03:04.3196 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930096 

2018-11-02 14:03:04.3196 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930097 

2018-11-02 14:03:04.3346 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q060930104 

2018-11-02 14:03:04.3346 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100002B 

2018-11-02 14:03:04.3506 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100002C 

2018-11-02 14:03:04.3506 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000033 

2018-11-02 14:03:04.3646 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000038 

2018-11-02 14:03:04.3646 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100003B 

2018-11-02 14:03:04.3776 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000040 

2018-11-02 14:03:04.3776 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000043 

2018-11-02 14:03:04.4006 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000044 

2018-11-02 14:03:04.4246 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000045 

2018-11-02 14:03:04.4246 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000046 

2018-11-02 14:03:04.4446 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004A 

2018-11-02 14:03:04.4686 | INFO |    FRT_UpdateStatus.Program | 程式結束! 

2018-11-02 14:07:51.4121 | INFO |    FRT_UpdateStatus.Program | 程式開始! 

2018-11-02 14:07:52.1631 | INFO |    FRT_UpdateStatus.Program | FRTBARM0 資料異動筆數:0 

